protein1 protein2 combined_score
243273.MG_001 243273.MG_018 950
243273.MG_001 243273.MG_203 394
243273.MG_001 243273.MG_170 428
243273.MG_001 243273.MG_227 583
243273.MG_001 243273.MG_265 156
243273.MG_001 243273.MG_390 168
243273.MG_001 243273.MG_419 999
243273.MG_001 243273.MG_035 592
243273.MG_001 243273.MG_399 244
243273.MG_001 243273.MG_330 290
243273.MG_001 243273.MG_421 575
243273.MG_001 243273.MG_062 224
243273.MG_001 243273.MG_125 156
243273.MG_001 243273.MG_229 351
243273.MG_001 243273.MG_177 447
243273.MG_001 243273.MG_301 234
243273.MG_001 243273.MG_394 545
243273.MG_001 243273.MG_367 230
243273.MG_001 243273.MG_340 176
243273.MG_001 243273.MG_072 447
243273.MG_001 243273.MG_384 314
243273.MG_001 243273.MG_465 587
243273.MG_001 243273.MG_469 988
243273.MG_001 243273.MG_145 192
243273.MG_001 243273.MG_315 999
243273.MG_001 243273.MG_034 215
243273.MG_001 243273.MG_353 158
243273.MG_001 243273.MG_026 156
243273.MG_001 243273.MG_371 243
243273.MG_001 243273.MG_240 188
243273.MG_001 243273.MG_013 186
243273.MG_001 243273.MG_113 219
243273.MG_001 243273.MG_058 183
243273.MG_001 243273.MG_460 270
243273.MG_001 243273.MG_462 401
243273.MG_001 243273.MG_154 314
243273.MG_001 243273.MG_393 166
243273.MG_001 243273.MG_195 443
243273.MG_001 243273.MG_261 999
243273.MG_001 243273.MG_070 269
243273.MG_001 243273.MG_082 178
243273.MG_001 243273.MG_239 164
243273.MG_001 243273.MG_006 631
243273.MG_001 243273.MG_160 200
243273.MG_001 243273.MG_401 209
243273.MG_001 243273.MG_464 526
243273.MG_001 243273.MG_124 213
243273.MG_001 243273.MG_522 217
243273.MG_001 243273.MG_073 554
243273.MG_001 243273.MG_224 423
243273.MG_001 243273.MG_027 398
243273.MG_001 243273.MG_287 439
243273.MG_001 243273.MG_111 256
243273.MG_001 243273.MG_341 406
243273.MG_001 243273.MG_038 154
